Отображаемое имя,IP-адрес,Имя хоста,Уровень черного тонера,MAC-адрес,Скорость печати,Двусторонняя,Общий размер памяти,Серийный номер,Всего отпечатано страниц,Микропр. обесп. системы,Микропр. обесп. машины
FS-1920,10.75.39.163,KYD57A00,25,00-C0-EE-D5-7A-00,20,Нет,32 Мб,VLB4320682,"208,679",156.04,EB20KA003
FS-1920,10.75.39.164,KYD6D748,63,00-C0-EE-D6-D7-48,20,Нет,32 Мб,ALB4527764,"377,656",156.04,EB20KA004
FS-1920,10.75.39.155,Kyocera_Len_1,25,00-C0-EE-D6-D8-29,20,Нет,32 Мб,ALB4529280,"358,31",156.04,EB20KA004
FS-1920,10.75.39.192,Kyocera_3,75,00-C0-EE-D5-79-67,20,Нет,32 Мб,ALB4633554,"210,969",156.05,EB20KA004
Panasonic KX-MB2000,10.75.39.175,,NULL,00-80-F0-19-95-95,24,Нет,,,"8,603",,
Samsung M332x 382x 402x Series,10.75.39.186,,NULL,30-CD-A7-2E-C5-06,38,Да,256 Мб,ZDP2BJCF70000VD,"22,261",,
Samsung M332x 382x 402x Series,10.75.39.190,,NULL,30-CD-A7-2E-C5-09,38,Да,256 Мб,ZDP2BJCF70000QZ,"18,528",,
Samsung M332x 382x 402x Series,10.75.39.188,,NULL,30-CD-A7-2E-C4-9D,38,Да,256 Мб,ZDP2BJCF70001SK,"17,734",,
Samsung M332x 382x 402x Series,10.75.39.185,,NULL,30-CD-A7-30-5D-E2,38,Да,256 Мб,ZDP2BJCF70006PZ,"6,926",,
Samsung ML-371x Series,10.75.39.187,,NULL,00-15-99-90-30-7A,35,Да,128 Мб,Z5LSBAGB902017T,"69,607",,
Samsung ML-371x Series,10.75.39.174,,NULL,00-15-99-8E-C4-55,35,Да,128 Мб,Z5LSBABB904050H,"78,44",,
Samsung ML-371x Series,10.75.39.165,,NULL,00-15-99-90-2F-3B,35,Да,128 Мб,Z5LSBAGB902033N,"72,936",,
Samsung ML-375x Series,10.75.39.189,,NULL,00-15-99-A9-D7-63,35,Да,128 Мб,Z78VBJBC70028MJ,"63,157",,
Samsung ML-375x Series,10.75.39.184,,NULL,00-15-99-A9-91-5F,35,Да,128 Мб,Z78VBJBC70009NL,"72,807",,
Samsung ML-375x Series,10.75.39.168,,NULL,00-15-99-A9-9F-23,35,Да,128 Мб,Z78VBJBC7001DNZ,"79,814",,
Samsung ML-4550,10.75.39.171,,1,00-00-00-00-00-00,28,Да,128 Мб,4966B1AB100002N ,"122,427",,
Samsung ML-4550,10.75.39.179,,34,00-00-00-00-00-00,28,Да,128 Мб,4966B1AS900237H ,"351,892",,
Samsung ML-4550,10.75.39.176,,71,00-00-00-00-00-00,28,Да,128 Мб,4966B1AS900262L ,"298,761",,
Samsung ML-4550,10.75.39.170,,14,00-00-00-00-00-00,28,Да,128 Мб,4966B1AS900160T ,"534,407",,
Samsung ML-4550,10.75.39.180,,53,00-00-00-00-00-00,28,Да,128 Мб,4966B1AS900250T ,"50,94",,
